Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,distance
Pamankada,6.8776324,79.8713074,Camera LK Store,6.8775251840607945,79.87927663272337,Camera Store,0.01185703211976867
Kirulapana,6.8814717000000005,79.87634759999997,CameraLK Store,6.875253360493031,79.88140237147289,Camera Store,0.6876874298895687
Kalubowila,6.863141400000001,79.87868329999998,Candle Light Hut,6.865689841368497,79.87324981796131,Pakistani Restaurant,0.2818324852142859
Maradana,6.926997,79.8639835,Cannys Bakers And Restaurant,6.921871238553294,79.87063779178652,Bakery,0.5668600922548714
Thalawathugoda,6.8758648,79.9391936,Capital Mall,6.8729602302223185,79.93740628102982,Shopping Mall,0.32121690916565054
Cinnamon Gardens,6.9116652,79.86456779999997,Caramel Pumpkin,6.916296482618892,79.86904274892527,Café,0.5121752483808654
Havelock Town,6.8866519,79.8646835,Caravan Fresh,6.887600305676518,79.85740349379817,Bakery,0.1048844148536688
Cinnamon Gardens,6.9116652,79.86456779999997,Caravan fresh,6.91326596584106,79.86479237786727,Breakfast Spot,0.17702927194696905
Moratuwa,6.788070599999998,79.8912813,Cargills Food City,6.785033547151783,79.88477644923964,Grocery Store,0.33586701488254167
Piliyandala,6.8017575,79.9227313,Cargills Food City,6.806074203828639,79.9212067427509,Grocery Store,0.47738368028760364
Ratmalana,6.8195453,79.8800832,Cargills Food City,6.820340780934246,79.88176212440099,Convenience Store,0.08797218487500048
Kottawa,6.8411652,79.9654324,Cargills Food City,6.840485465412908,79.96702019024873,Convenience Store,0.07517186883808231
Boralesgamuwa,6.840989100000002,79.9017187,Cargills Food City,6.840559105126486,79.90076266412095,Supermarket,0.04755314615177359
Kottawa,6.8411652,79.9654324,Cargills Food City,6.8422287287842725,79.96236917126977,Supermarket,0.11761568512811094
Maharagama,6.8510951,79.92120109999998,Cargills Food City,6.845261865145955,79.92636272732584,Supermarket,0.6450978182118752
Maharagama,6.8510951,79.92120109999998,Cargills Food City,6.849942534001392,79.92329558918324,Grocery Store,0.1274623604005732
Nugegoda,6.864908099999999,79.89967890000001,Cargills Food City,6.864680003856576,79.89727524763695,Supermarket,0.02522518460701106
Kalubowila,6.863141400000001,79.87868329999998,Cargills Food City,6.86672542389643,79.8839304984618,Supermarket,0.3963577094781109
Thalawathugoda,6.8758648,79.9391936,Cargills Food City,6.8735017321927225,79.9376097949894,Convenience Store,0.2613321090084269
Havelock Town,6.8866519,79.8646835,Cargills Food City,6.886671219663117,79.85888315494591,Convenience Store,0.0021365662099713956
Nawala,6.896419099999999,79.8884819,Cargills Food City,6.888101903112677,79.88744417870937,Supermarket,0.9198010275050278
Pelawatte,6.8905834000000015,79.924918,Cargills Food City,6.888350015650609,79.93059896058493,Convenience Store,0.24699054351413535
Bambalapitiya,6.904361,79.8540397,Cargills Food City,6.902780383551511,79.85251252282285,Grocery Store,0.17480087827201682
Narahenpita,6.897593400000001,79.881483,Cargills Food City,6.904003910917562,79.8778162098713,Grocery Store,0.7089403692683222
Koswatte,6.908863,79.93135670000002,Cargills Food City,6.90758765144603,79.92916178780672,Shopping Mall,0.14104123171072666
Borella,6.9121796,79.8828828,Cargills Food City,6.911583156242276,79.8867286811803,Supermarket,0.0659609287600349
Union Place,6.9229583,79.8523572,Cargills Food City,6.920275951187638,79.85573340700145,Convenience Store,0.29664203677275486
Maradana,6.926997,79.8639835,Cargills Food City,6.922373145072869,79.86583937460001,Convenience Store,0.5113540466937986
Maradana,6.926997,79.8639835,Cargills Food City,6.925630854010316,79.86697294880923,Convenience Store,0.1510826656441254
Dematagoda,6.9352993000000005,79.88078309999999,Cargills Food City,6.929192223019463,79.8777830575804,Supermarket,0.6753844071335853
"Kaduwela, Western Province",6.929061,79.98277540000002,Cargills Food City,6.937126729855218,79.97988070210705,Shop & Service,0.8919927467459358
Peliyagoda,6.958491499999999,79.9055819,Cargills Food City,6.951761625424987,79.9052066863013,Convenience Store,0.7442605913628856
